 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42
752,2440.900,2188.857,3666.154,2440.865,2840.988,3448.219,3923.236,2988.187,1863.116,5106.849,4784.656,1574.818,2713.948,2091.680,1702.447,1729.119,975.987,2229.606,4497.138,5432.178,1625.352,2284.654,1105.590,1109.855,1082.821,972.557,1988.434,3758.699,1026.839,1171.148,1069.307,2446.264,1144.169,1903.690,1202.142,2939.744,3169.529,3555.626,2352.350,2746.100,1718.668,4813.894
753,2441.230,2191.834,3665.515,2441.270,2844.355,3447.980,3926.252,2987.512,1862.531,5109.863,4785.456,1576.893,2713.089,2090.802,1700.647,1728.050,975.630,2228.401,4498.704,5429.956,1627.067,2299.822,1105.588,1111.216,1083.177,973.737,1988.578,3756.815,1027.633,1171.085,1068.478,2447.579,1144.206,1909.889,1201.676,2935.200,3166.922,3554.549,2353.396,2746.671,1719.347,4807.785
754,2439.998,2191.116,3661.009,2442.389,2843.091,3444.083,3920.297,2983.994,1859.433,5104.455,4780.209,1575.453,2709.192,2090.524,1699.572,1726.654,975.272,2227.643,4495.653,5428.990,1626.678,2312.975,1104.317,1111.232,1081.533,972.499,1987.041,3753.034,1027.296,1171.519,1069.284,2446.825,1144.663,1911.774,1203.351,2937.075,3166.543,3552.245,2350.812,2745.137,1716.204,4805.583
755,2440.456,2190.962,3662.719,2444.119,2846.356,3445.122,3923.176,2987.201,1862.067,5112.909,4782.281,1575.108,2712.848,2089.750,1699.932,1727.498,976.616,2227.897,4498.006,5437.266,1630.050,2324.204,1103.388,1113.634,1084.365,973.880,1988.016,3757.198,1029.339,1170.286,1068.377,2447.424,1145.496,1913.127,1204.358,2938.383,3167.939,3557.362,2353.749,2746.781,1718.134,4807.128
756,2443.918,2190.747,3666.716,2444.830,2844.381,3447.312,3929.947,2992.039,1863.936,5114.849,4787.317,1575.804,2713.844,2092.436,1702.672,1730.272,977.132,2228.805,4504.685,5432.347,1632.755,2338.492,1102.912,1113.539,1084.337,973.699,1989.647,3758.112,1028.702,1172.424,1068.897,2449.408,1145.432,1919.314,1204.624,2939.144,3165.353,3556.196,2354.489,2748.296,1719.978,4806.658
757,2439.451,2190.879,3664.163,2443.684,2846.152,3444.548,3921.818,2992.043,1863.385,5111.324,4782.407,1576.509,2712.723,2090.719,1701.687,1730.091,977.169,2227.820,4499.941,5434.056,1635.159,2348.121,1100.934,1112.640,1083.112,973.533,1991.006,3756.618,1027.530,1171.730,1069.313,2447.610,1144.824,1921.229,1206.434,2936.211,3166.977,3553.506,2352.625,2748.386,1720.175,4808.827
758,2442.178,2190.193,3664.240,2444.447,2848.995,3446.466,3925.810,2987.676,1861.262,5110.410,4783.928,1574.547,2714.090,2091.555,1702.407,1729.924,976.512,2226.874,4494.671,5433.442,1638.139,2360.763,1099.942,1112.355,1083.618,974.661,1990.918,3755.115,1028.170,1170.955,1069.324,2449.123,1144.504,1925.244,1205.525,2936.973,3165.894,3554.300,2352.615,2746.788,1718.239,4807.162
759,2443.710,2190.931,3669.107,2442.835,2846.171,3448.234,3924.605,2991.967,1863.076,5109.100,4787.829,1574.581,2711.185,2091.913,1701.993,1730.305,978.643,2226.507,4501.051,5422.929,1638.295,2366.872,1101.500,1111.090,1084.541,974.452,1990.077,3753.567,1028.877,1171.363,1068.272,2447.645,1144.935,1927.146,1205.219,2935.818,3165.293,3555.431,2352.845,2745.780,1717.976,4803.243
760,2440.672,2191.173,3665.877,2445.046,2843.092,3446.733,3925.185,2992.792,1861.382,5103.746,4784.729,1574.778,2712.948,2092.085,1702.296,1729.611,976.600,2227.284,4501.870,5429.528,1640.518,2374.142,1101.270,1113.041,1086.008,975.329,1987.935,3751.132,1031.535,1170.811,1069.358,2445.555,1145.257,1931.524,1207.580,2933.045,3166.860,3551.863,2351.477,2747.964,1717.203,4803.030
761,2448.028,2194.097,3672.395,2447.315,2848.906,3453.881,3932.500,2990.073,1864.870,5118.854,4793.944,1581.544,2715.729,2093.969,1703.469,1730.929,979.456,2231.389,4508.607,5438.924,1644.094,2389.324,1100.623,1113.679,1086.024,975.981,1991.237,3756.875,1030.772,1171.089,1069.917,2453.389,1147.664,1936.097,1207.799,2938.876,3169.292,3556.042,2356.107,2751.833,1722.674,4813.970
762,2443.856,2191.929,3667.789,2448.729,2848.525,3446.991,3924.695,2988.081,1864.584,5116.942,4789.051,1578.567,2714.378,2091.645,1703.052,1728.349,977.173,2226.922,4503.577,5429.906,1643.873,2393.299,1100.110,1114.446,1085.973,975.149,1989.797,3755.308,1029.395,1169.132,1071.965,2449.302,1146.776,1935.179,1207.402,2936.466,3163.646,3553.454,2354.471,2750.216,1719.731,4810.355
763,2446.982,2193.192,3670.270,2446.574,2852.297,3450.688,3928.430,2989.080,1864.316,5116.733,4792.660,1578.863,2713.482,2093.147,1704.412,1730.404,979.924,2229.308,4511.679,5437.729,1647.207,2401.122,1098.913,1114.252,1086.290,974.813,1991.865,3759.534,1028.213,1170.479,1070.680,2450.302,1146.596,1937.726,1207.816,2939.270,3169.929,3557.204,2352.575,2752.263,1722.332,4812.356
764,2444.507,2192.948,3665.009,2444.522,2853.480,3448.469,3926.899,2989.626,1863.593,5113.169,4791.281,1576.745,2714.319,2091.172,1702.975,1731.029,979.592,2229.308,4501.992,5426.710,1648.426,2407.316,1098.380,1115.808,1084.920,975.301,1991.143,3757.793,1029.879,1170.223,1072.065,2449.792,1147.025,1939.615,1209.016,2936.129,3164.054,3551.550,2353.819,2752.055,1720.182,4809.584
765,2449.667,2195.433,3670.761,2447.523,2850.757,3452.422,3930.610,2992.333,1864.675,5118.958,4793.973,1576.663,2717.205,2092.510,1705.835,1731.797,981.530,2229.447,4502.635,5435.400,1651.317,2414.289,1099.184,1115.114,1086.298,975.602,1992.264,3762.249,1030.407,1170.355,1073.361,2453.465,1148.437,1943.881,1210.807,2937.561,3163.517,3558.691,2353.080,2754.779,1722.227,4815.794
766,2445.246,2192.816,3667.952,2444.212,2847.531,3449.867,3927.686,2996.920,1863.428,5119.395,4792.792,1577.077,2715.845,2091.639,1702.826,1731.488,982.067,2228.428,4502.031,5438.793,1653.661,2415.910,1097.920,1116.239,1087.070,975.788,1993.332,3762.381,1030.062,1169.605,1072.698,2452.624,1146.819,1944.106,1208.299,2935.832,3164.008,3555.299,2352.881,2753.311,1720.666,4814.966
767,2444.333,2191.956,3668.611,2445.085,2849.734,3448.192,3928.851,2995.563,1863.673,5117.215,4792.105,1577.550,2711.668,2090.105,1700.951,1731.353,982.953,2226.522,4495.366,5429.176,1657.045,2422.868,1097.032,1115.866,1086.274,976.214,1992.282,3764.647,1031.667,1168.848,1072.070,2453.329,1146.334,1948.699,1209.522,2935.057,3168.995,3555.833,2354.313,2749.371,1721.943,4814.520
768,2444.614,2195.198,3670.906,2448.686,2851.160,3448.892,3929.549,2994.866,1865.152,5120.932,4796.570,1578.553,2718.672,2093.362,1702.970,1731.444,983.702,2228.589,4498.540,5432.056,1659.055,2426.543,1098.061,1118.442,1087.176,976.245,1992.227,3771.289,1029.813,1170.484,1071.203,2455.512,1148.092,1952.824,1209.631,2935.129,3168.185,3559.026,2355.654,2751.097,1720.759,4815.963
769,2446.512,2193.601,3665.384,2443.076,2849.411,3444.767,3926.062,2988.877,1861.373,5112.949,4791.213,1573.946,2711.535,2087.974,1703.816,1730.935,983.791,2225.927,4497.093,5431.940,1657.967,2427.975,1096.643,1117.072,1084.976,974.385,1991.295,3764.527,1029.925,1168.802,1072.450,2448.683,1146.508,1952.134,1209.808,2933.358,3164.583,3549.031,2352.915,2749.978,1719.199,4806.328
770,2448.659,2196.503,3672.667,2445.193,2851.081,3451.129,3929.608,2991.818,1864.758,5119.831,4800.839,1577.401,2716.948,2092.890,1705.787,1732.152,984.052,2228.160,4506.196,5432.289,1661.435,2432.791,1096.877,1118.721,1087.429,975.940,1994.441,3771.788,1030.200,1168.629,1070.989,2452.957,1147.425,1957.884,1211.088,2937.818,3167.118,3554.598,2355.595,2756.197,1723.397,4817.734
771,2447.658,2194.568,3670.748,2444.628,2851.611,3449.474,3926.529,2989.647,1863.987,5118.215,4799.427,1576.643,2715.999,2092.483,1705.263,1732.547,986.132,2230.720,4505.711,5441.954,1661.810,2435.206,1095.483,1120.842,1087.619,975.878,1992.340,3773.796,1030.233,1167.839,1072.900,2450.079,1147.672,1958.495,1209.781,2936.234,3164.211,3553.390,2353.490,2753.032,1721.404,4816.195
772,2444.318,2197.373,3666.224,2443.409,2849.602,3446.347,3920.523,2987.650,1861.528,5116.030,4799.460,1574.777,2713.209,2089.440,1703.974,1730.676,985.021,2227.393,4496.301,5431.125,1662.892,2437.712,1095.196,1121.880,1086.027,975.509,1992.376,3773.997,1029.743,1165.903,1072.223,2451.423,1147.429,1956.612,1211.167,2934.844,3163.401,3552.293,2351.080,2750.467,1721.668,4809.426
773,2453.544,2198.223,3670.597,2449.591,2854.741,3450.606,3926.593,2993.948,1865.565,5125.168,4800.914,1578.151,2714.886,2093.787,1706.264,1733.807,984.251,2232.065,4508.826,5433.134,1666.085,2443.618,1095.201,1122.652,1088.389,976.396,1993.237,3781.098,1032.301,1168.034,1073.331,2457.890,1148.553,1963.507,1211.451,2938.058,3167.756,3556.888,2354.971,2755.991,1724.303,4819.253
774,2446.155,2195.354,3665.389,2448.303,2851.300,3448.717,3924.357,2992.504,1865.843,5120.188,4795.382,1575.472,2713.893,2090.848,1704.499,1732.415,984.695,2229.746,4502.790,5428.681,1662.844,2444.680,1093.934,1124.416,1087.430,975.488,1993.389,3778.188,1030.220,1167.123,1070.963,2452.437,1147.955,1961.836,1209.829,2934.639,3160.485,3556.322,2351.306,2754.772,1722.291,4813.119
775,2451.722,2195.737,3669.103,2446.657,2851.912,3451.858,3924.077,2994.018,1866.993,5121.371,4800.362,1575.633,2718.661,2092.487,1707.113,1733.693,985.691,2230.839,4500.324,5432.474,1666.752,2445.832,1094.276,1125.091,1089.082,976.135,1994.411,3781.407,1030.906,1168.077,1073.089,2454.635,1148.781,1963.921,1212.717,2935.781,3164.941,3554.966,2352.652,2754.320,1723.214,4816.131
776,2448.262,2194.526,3665.729,2449.084,2851.205,3451.575,3926.859,2994.973,1865.627,5123.120,4800.738,1577.637,2716.534,2092.790,1705.749,1734.093,987.502,2232.475,4500.193,5439.054,1664.961,2448.311,1095.690,1125.874,1088.227,977.341,1995.920,3786.521,1030.413,1167.225,1070.844,2453.230,1148.449,1963.608,1211.539,2936.351,3166.973,3556.031,2352.148,2755.616,1723.167,4818.345
777,2445.695,2194.960,3664.083,2448.373,2850.764,3447.649,3923.441,2988.123,1864.437,5116.490,4797.179,1575.824,2716.232,2091.607,1704.676,1732.672,988.412,2231.435,4505.840,5432.219,1662.118,2448.775,1093.922,1124.872,1089.151,975.773,1994.623,3779.772,1030.854,1167.612,1071.387,2454.106,1148.443,1963.423,1211.324,2934.591,3160.597,3553.459,2351.021,2752.833,1723.480,4811.360
778,2447.305,2195.981,3664.624,2449.812,2855.077,3445.316,3924.801,2990.288,1865.999,5114.517,4796.276,1576.460,2716.962,2092.344,1707.487,1732.822,990.111,2232.531,4503.038,5426.502,1663.441,2453.079,1094.015,1125.954,1090.557,976.260,1996.115,3779.357,1031.098,1166.551,1074.049,2452.064,1147.929,1966.867,1212.533,2932.761,3162.939,3551.473,2351.401,2752.807,1724.045,4810.975
779,2448.802,2197.066,3664.933,2448.302,2854.438,3449.338,3925.098,2993.831,1865.302,5120.589,4799.900,1575.264,2717.386,2093.200,1707.557,1734.184,990.462,2232.961,4507.292,5430.572,1664.423,2451.518,1093.320,1125.231,1088.405,977.027,1996.983,3780.568,1031.109,1167.002,1071.928,2452.786,1149.419,1970.440,1210.618,2937.306,3163.663,3549.325,2354.541,2754.477,1724.679,4812.363
780,2448.943,2196.911,3667.076,2449.401,2854.505,3449.082,3924.983,2995.470,1864.779,5119.578,4799.566,1579.017,2717.456,2093.885,1710.972,1734.870,991.214,2234.275,4503.904,5442.329,1664.304,2454.606,1095.202,1124.639,1089.749,977.945,1998.397,3781.557,1031.467,1167.956,1072.896,2451.722,1149.462,1971.623,1210.313,2936.417,3165.145,3552.651,2352.795,2755.213,1725.818,4819.351
781,2451.156,2200.664,3665.846,2449.338,2855.613,3447.764,3921.192,2993.336,1864.498,5119.503,4799.883,1575.924,2717.224,2093.232,1710.016,1733.981,991.753,2233.700,4497.982,5426.403,1663.822,2457.260,1094.353,1122.565,1090.202,977.338,1993.409,3785.270,1032.182,1168.557,1074.800,2454.800,1149.272,1973.040,1212.658,2932.363,3163.067,3554.479,2352.521,2755.317,1725.493,4818.127
782,2450.823,2200.482,3665.127,2453.476,2855.627,3449.362,3925.842,2990.173,1864.764,5124.493,4800.934,1577.172,2718.737,2091.332,1709.102,1734.085,993.227,2234.701,4501.861,5432.610,1663.686,2456.913,1092.368,1124.739,1089.750,977.825,1994.408,3785.777,1030.625,1167.342,1074.006,2457.042,1149.920,1976.211,1211.769,2933.024,3162.614,3552.129,2351.862,2757.672,1727.976,4818.418
783,2451.777,2200.213,3668.199,2448.913,2857.422,3451.867,3927.965,2994.398,1866.714,5121.245,4805.256,1577.936,2721.587,2094.266,1709.645,1735.655,995.389,2235.829,4508.056,5439.735,1664.249,2463.107,1094.678,1124.839,1090.663,977.773,1996.083,3792.001,1031.537,1169.454,1074.789,2456.213,1150.604,1980.910,1213.541,2935.648,3160.872,3555.557,2352.272,2759.939,1727.670,4819.708
784,2453.202,2197.204,3663.870,2448.289,2851.967,3446.434,3926.832,2992.029,1866.172,5120.791,4801.119,1576.263,2721.434,2091.594,1708.555,1737.814,996.068,2237.557,4508.265,5428.552,1663.515,2464.210,1091.266,1124.618,1090.181,977.083,1995.663,3787.127,1031.723,1167.945,1072.845,2456.148,1149.851,1979.351,1214.397,2932.428,3158.799,3554.064,2351.672,2758.871,1727.509,4819.450
