 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39
816,4430.440,2235.125,4082.514,2459.777,9885.872,3282.146,2306.831,2317.212,1922.504,3414.700,3116.235,1718.998,3598.764,3008.776,2091.034,2172.457,3371.325,4106.302,7376.731,5040.631,6992.779,2010.403,1733.233,2361.844,1326.586,6993.944,2146.165,12013.034,3542.936,4807.260,1689.579,1744.540,2220.494,6971.029,2374.168,4458.584,4006.036,2067.004,3481.077
817,4428.943,2237.642,4084.013,2459.045,9891.814,3286.223,2307.872,2318.944,1921.803,3414.796,3114.615,1720.817,3599.271,3011.822,2094.173,2171.885,3371.603,4105.429,7382.093,5042.460,6995.272,2009.648,1733.395,2358.715,1328.856,6994.739,2146.171,12022.469,3571.496,4814.606,1690.380,1745.266,2222.760,6970.185,2374.313,4462.763,4007.304,2064.963,3482.533
818,4434.178,2239.361,4091.398,2461.406,9901.526,3286.613,2311.628,2321.930,1924.802,3416.808,3116.924,1719.471,3596.611,3008.903,2093.098,2171.438,3371.383,4103.349,7380.096,5045.354,6999.797,2009.478,1735.416,2357.725,1328.354,6995.914,2149.551,12026.087,3592.635,4821.664,1693.584,1745.346,2225.560,6965.820,2375.159,4461.679,4003.392,2066.376,3485.772
819,4426.802,2239.235,4086.550,2459.857,9895.733,3284.333,2309.068,2319.149,1923.063,3416.632,3114.831,1720.329,3598.842,3007.962,2093.100,2168.669,3367.071,4103.130,7379.370,5044.374,7004.615,2006.580,1734.317,2354.952,1329.443,6992.400,2149.241,12022.152,3606.281,4820.394,1691.297,1744.140,2222.557,6967.224,2375.235,4460.194,4005.031,2067.678,3484.417
820,4422.893,2237.988,4088.511,2458.396,9895.175,3283.327,2307.100,2318.726,1923.464,3414.620,3117.231,1722.892,3599.160,3008.381,2094.226,2172.842,3369.797,4105.660,7376.000,5043.690,7006.303,2004.534,1736.116,2353.613,1330.081,6993.892,2148.055,12030.484,3620.692,4819.168,1692.163,1743.732,2223.065,6968.669,2376.718,4463.524,4006.793,2068.319,3480.365
821,4424.037,2239.436,4085.944,2461.558,9901.026,3287.692,2311.832,2318.477,1923.482,3413.896,3116.046,1723.053,3600.015,3009.529,2094.424,2171.743,3372.177,4106.674,7377.768,5041.422,7014.450,2003.758,1733.748,2352.157,1331.466,6998.385,2149.972,12035.494,3631.509,4825.285,1692.585,1747.386,2223.993,6968.469,2377.177,4464.145,4003.473,2067.138,3483.200
822,4422.898,2236.546,4082.721,2456.227,9897.795,3285.040,2307.911,2318.760,1923.632,3407.835,3112.886,1722.003,3597.678,3006.468,2088.216,2170.350,3362.624,4101.750,7375.561,5036.120,7007.140,2000.320,1731.579,2347.985,1327.414,6986.133,2147.607,12019.170,3643.017,4824.994,1690.634,1746.046,2222.041,6965.388,2374.732,4462.165,3999.813,2065.617,3481.184
823,4417.915,2237.095,4076.909,2456.423,9886.148,3284.781,2309.077,2315.964,1922.703,3407.683,3109.407,1720.844,3594.112,3006.479,2091.595,2168.480,3365.238,4099.016,7370.688,5035.887,7006.470,1997.256,1731.430,2343.882,1328.028,6980.492,2147.292,12009.485,3653.004,4829.608,1687.220,1746.981,2219.437,6959.054,2372.651,4457.093,3999.346,2067.275,3482.739
824,4420.425,2238.317,4081.302,2458.130,9894.854,3285.727,2308.829,2318.160,1922.508,3415.485,3116.998,1724.071,3595.305,3007.388,2089.599,2167.520,3369.365,4098.342,7373.141,5034.521,7017.453,1997.689,1733.677,2343.991,1329.064,6993.468,2148.772,12019.069,3677.727,4829.832,1691.380,1746.952,2220.191,6965.185,2374.630,4460.369,4000.615,2068.078,3484.787
825,4416.686,2234.514,4077.640,2454.753,9875.679,3279.549,2305.133,2313.240,1921.951,3410.325,3113.739,1724.187,3595.312,3006.257,2089.295,2168.346,3365.560,4102.748,7371.232,5031.120,7007.248,1993.940,1732.177,2339.747,1329.455,6987.350,2144.469,12012.207,3688.064,4835.803,1688.454,1745.817,2222.410,6962.066,2374.816,4458.736,3999.031,2065.116,3482.845
