 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
1,933.939,1050.962,1100.531,1010.135,970.386,980.443,962.857,977.615,963.369,975.707,932.466,907.628,910.373,1052.249,1069.251,1016.009,963.885,960.489,937.133,918.457,999.109,1001.484,987.049,993.095,1018.611,938.328,943.675,987.583,963.505,991.719,1007.601,997.644,946.041,951.923,964.223,1000.232,987.857,982.830,1003.886,1013.397,964.899,987.580,1010.886,950.620,968.205,941.397
2,933.178,1047.423,1100.842,1009.280,968.860,979.331,960.515,977.802,961.965,974.973,931.101,904.831,909.142,1052.695,1065.751,1013.797,960.945,960.357,937.626,915.830,996.202,1001.699,984.887,992.302,1016.815,936.928,941.301,989.993,962.595,991.484,1006.897,995.351,943.326,950.765,963.828,997.627,986.903,980.778,1003.377,1011.106,962.838,984.371,1008.387,948.266,967.088,940.821
3,932.302,1047.028,1098.925,1009.858,969.153,978.905,959.406,977.104,963.474,976.074,929.826,905.364,908.568,1052.341,1068.094,1014.126,963.434,960.812,936.312,917.274,997.691,1000.897,986.024,992.074,1017.900,936.451,942.127,988.508,963.384,990.647,1006.662,996.376,945.284,950.569,963.711,999.492,986.703,979.404,1003.678,1011.218,962.173,983.337,1008.810,949.197,967.323,940.750
4,933.088,1048.908,1098.769,1008.616,967.652,977.624,961.480,976.248,962.205,973.938,931.745,905.177,907.843,1051.064,1067.114,1014.242,962.348,960.601,937.199,917.491,996.661,999.071,983.028,992.226,1017.785,935.993,942.165,988.560,962.549,990.845,1006.616,996.343,944.782,951.147,963.538,998.421,986.761,979.709,1002.637,1009.078,961.687,983.759,1010.187,948.618,966.286,938.267
5,933.631,1049.958,1099.685,1008.088,969.136,978.127,960.477,978.639,962.654,974.518,929.539,905.674,908.311,1050.191,1064.648,1012.802,962.335,959.693,937.582,915.067,997.065,999.937,984.526,993.035,1018.319,937.967,942.197,990.054,962.635,989.797,1005.660,997.505,943.012,950.680,962.542,998.298,986.757,980.019,1001.628,1010.806,964.135,984.532,1008.452,951.274,966.770,940.879
6,932.203,1049.476,1097.916,1006.978,968.280,979.019,960.756,976.821,961.421,974.180,927.741,904.871,907.659,1049.815,1063.556,1013.161,962.717,959.836,935.904,916.624,995.308,997.254,983.973,992.428,1017.157,935.425,940.383,987.250,963.135,989.003,1005.904,993.952,943.113,949.555,963.048,998.843,985.796,979.922,1002.899,1009.213,961.319,983.053,1009.399,948.367,964.899,938.527
7,933.159,1046.436,1097.966,1008.262,968.286,978.429,960.073,977.356,962.396,975.443,931.103,905.141,908.822,1051.583,1066.668,1011.950,962.876,963.152,937.289,917.372,996.409,998.957,984.382,990.007,1018.289,936.154,940.964,988.917,962.986,989.831,1006.831,996.225,943.644,950.135,962.921,998.342,986.441,979.847,1002.383,1011.602,962.501,981.492,1009.336,948.632,966.291,938.607
8,930.612,1046.419,1097.195,1007.171,968.739,980.158,960.564,975.941,962.093,975.099,931.304,902.892,908.152,1049.706,1063.915,1012.689,962.665,959.919,936.651,917.046,995.589,998.027,983.773,989.855,1017.591,935.557,939.219,985.161,962.613,989.778,1005.827,995.446,943.110,950.004,962.245,997.804,985.393,979.559,1001.075,1009.503,961.813,982.111,1008.413,947.622,964.285,938.704
9,931.610,1048.584,1098.551,1006.645,968.595,978.927,959.909,974.609,962.099,974.734,930.724,904.795,909.230,1051.290,1065.207,1013.265,960.996,960.421,936.243,918.720,994.615,999.734,984.489,990.483,1015.825,936.333,940.604,985.026,961.541,989.241,1005.382,997.473,942.350,951.836,963.561,997.021,985.905,979.519,1001.446,1011.133,961.849,982.840,1007.976,949.986,964.493,939.615
10,932.980,1048.331,1095.670,1007.735,968.903,978.330,960.169,976.808,963.037,976.111,931.020,905.605,908.497,1050.141,1064.328,1012.692,961.254,960.185,936.362,919.184,996.044,999.150,983.688,991.770,1016.868,934.685,941.662,986.458,963.625,989.881,1005.653,996.440,943.345,950.267,962.793,996.962,986.263,978.554,1001.959,1010.359,962.745,980.958,1009.547,949.052,965.447,938.310
11,933.900,1045.830,1097.097,1007.422,968.156,979.159,961.611,975.647,962.914,975.231,930.329,905.545,908.729,1051.530,1064.967,1013.755,963.652,960.290,937.254,918.093,997.988,998.704,985.443,990.379,1016.860,935.534,942.641,988.198,961.521,989.430,1006.435,995.386,943.677,949.512,963.254,998.812,986.605,979.136,1001.210,1010.537,962.965,982.171,1009.735,948.910,966.378,939.199
12,933.073,1047.637,1095.871,1006.312,968.645,979.611,961.584,978.406,962.439,974.980,931.426,906.438,908.283,1050.126,1062.948,1013.012,964.187,961.557,935.723,919.663,996.323,998.914,983.931,992.196,1016.431,936.204,941.017,986.980,962.044,989.462,1004.889,997.947,943.948,950.820,963.256,997.134,986.127,981.029,1002.542,1010.679,962.177,981.224,1007.740,948.051,965.211,938.112
13,932.892,1045.381,1095.055,1007.225,969.508,977.662,961.320,976.710,962.428,973.819,931.185,904.836,907.698,1050.448,1062.895,1012.619,962.224,959.983,936.217,917.598,993.406,997.170,983.660,989.999,1016.818,935.635,939.612,986.889,962.328,990.222,1004.069,996.998,942.984,950.577,963.161,997.148,985.217,979.535,1001.882,1011.674,962.814,982.440,1007.642,947.133,964.816,938.651
14,933.406,1047.758,1097.024,1008.385,969.694,976.915,961.693,977.052,960.662,976.124,931.061,906.687,910.054,1052.002,1064.328,1012.216,961.909,960.845,935.696,917.969,996.154,999.210,985.903,991.799,1017.864,936.156,941.927,985.028,962.226,990.065,1004.403,997.089,942.879,950.942,962.567,997.108,985.306,979.759,1002.637,1011.198,962.835,983.506,1009.672,948.501,964.730,940.067
15,932.689,1046.705,1095.752,1008.059,968.976,977.206,962.709,975.635,960.667,974.272,930.061,905.081,908.948,1050.550,1066.218,1013.955,960.810,959.672,935.381,918.370,995.860,1000.194,983.500,991.186,1015.924,935.835,940.119,985.757,962.340,989.912,1005.603,993.846,942.706,949.561,962.162,997.060,985.189,979.410,1000.953,1010.579,962.192,981.393,1008.517,947.731,966.755,937.955
16,930.770,1045.302,1095.556,1008.484,968.783,976.743,960.467,976.706,961.389,973.670,930.044,905.522,909.606,1050.917,1063.763,1012.209,961.341,958.687,936.877,917.348,994.959,997.185,983.485,989.874,1016.243,936.693,940.237,986.438,961.358,988.123,1005.019,994.931,943.437,949.511,961.679,996.682,984.674,978.819,1001.608,1011.734,962.966,981.140,1007.913,948.128,964.879,939.645
17,931.114,1044.322,1093.085,1007.854,968.120,976.139,959.581,975.109,960.811,972.360,930.100,905.422,907.582,1050.388,1062.559,1009.758,960.005,958.279,935.509,916.790,994.995,996.277,981.061,988.872,1015.940,935.184,937.815,985.330,961.723,985.846,1003.229,993.022,942.772,949.141,962.262,995.876,984.028,976.500,999.674,1009.053,960.719,978.884,1006.100,947.292,964.024,937.985
18,930.543,1045.678,1094.747,1007.469,968.951,977.632,961.944,976.714,962.287,973.551,930.602,904.303,907.003,1051.067,1061.203,1012.947,962.652,959.768,935.203,916.716,994.918,996.074,984.034,989.184,1015.526,934.502,939.527,989.840,962.213,987.788,1003.739,994.383,941.630,948.579,963.190,997.543,985.492,978.587,1001.104,1010.809,963.844,979.578,1007.814,947.307,964.229,937.720
