 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
461,1053.226,1217.586,1537.370,1077.084,977.201,989.195,958.448,1023.524,1001.529,1011.190,980.137,917.791,955.742,1148.657,1196.846,1175.383,1018.438,1012.824,972.029,935.633,1217.166,1215.057,1033.454,1043.965,1129.055,972.923,958.758,986.865,1015.974,1155.728,1151.762,1208.149,982.751,1009.817,982.989,1075.416,1034.994,993.292,1129.223,1014.407,981.050,1155.819,1118.800,989.553,1050.561,1015.189
462,1046.279,1210.657,1525.317,1072.354,976.243,987.611,958.520,1019.131,998.410,1009.859,976.484,916.699,953.385,1143.311,1190.058,1168.120,1015.765,1009.918,969.705,936.434,1207.059,1205.212,1032.126,1041.808,1123.571,968.273,958.365,982.885,1013.850,1151.284,1148.804,1201.404,980.795,1006.108,980.942,1071.815,1032.998,991.507,1125.852,1013.676,979.433,1151.890,1114.769,985.936,1047.595,1010.842
463,1044.047,1205.746,1513.928,1069.484,976.271,987.851,960.545,1016.334,998.552,1009.138,974.622,916.387,951.153,1140.381,1189.097,1161.998,1012.997,1010.329,968.312,937.346,1200.616,1199.776,1029.691,1041.385,1122.076,965.695,957.382,985.442,1011.942,1143.244,1143.147,1193.399,980.034,1006.348,979.848,1069.389,1032.123,990.403,1122.955,1012.761,979.819,1146.942,1110.319,985.067,1042.097,1007.793
464,1038.088,1200.980,1504.053,1068.737,976.523,985.807,958.171,1014.252,996.917,1006.617,972.717,916.729,951.195,1137.378,1182.473,1159.564,1012.432,1007.024,966.226,934.326,1192.254,1192.282,1028.646,1037.871,1119.651,965.659,955.884,988.421,1011.514,1138.750,1137.542,1187.806,977.261,1001.378,978.264,1066.242,1030.636,991.266,1119.442,1012.924,977.688,1141.215,1106.327,982.684,1040.621,1005.303
465,1033.731,1193.771,1493.770,1066.268,976.312,987.343,958.516,1012.470,996.984,1005.238,972.647,915.481,949.762,1134.641,1182.365,1153.331,1010.567,1006.088,965.337,933.002,1187.806,1183.513,1026.956,1037.589,1115.317,963.765,957.761,985.588,1008.497,1133.948,1134.874,1183.293,975.358,1001.430,979.073,1064.027,1029.898,991.028,1118.980,1013.653,977.516,1137.680,1102.509,981.376,1037.477,1002.102
466,1030.353,1191.022,1483.504,1063.465,977.008,983.940,959.825,1010.043,995.116,1005.119,969.604,916.629,949.007,1130.406,1177.920,1148.227,1007.877,1005.498,963.773,934.106,1179.804,1180.093,1025.559,1036.238,1112.391,963.246,955.018,983.959,1007.250,1130.929,1130.693,1178.503,973.433,998.758,978.997,1061.136,1029.604,990.061,1114.983,1012.192,977.410,1135.894,1098.857,980.649,1033.698,998.839
467,1027.329,1183.047,1470.708,1062.194,974.593,984.985,958.879,1008.217,991.886,1003.837,966.452,912.890,945.572,1127.851,1172.206,1144.265,1006.029,1003.979,961.966,933.675,1173.128,1171.798,1022.352,1034.401,1109.295,961.107,954.027,985.523,1005.770,1124.483,1125.767,1171.712,972.599,995.531,975.967,1056.758,1027.425,989.053,1109.844,1010.113,975.746,1129.915,1094.683,978.575,1032.652,995.655
468,1022.408,1182.244,1463.645,1059.082,973.254,982.791,958.829,1005.691,992.139,999.519,964.673,914.299,947.146,1125.569,1167.981,1139.322,1003.713,1002.228,961.539,933.301,1167.241,1164.584,1022.660,1032.089,1107.189,960.001,953.991,985.013,1003.630,1119.639,1121.880,1166.448,971.889,994.413,976.041,1055.764,1026.693,988.803,1107.158,1011.126,975.246,1127.499,1090.077,978.090,1030.037,994.241
469,1019.272,1173.557,1451.559,1059.130,973.723,983.617,958.869,1003.974,991.106,999.079,963.267,914.879,945.169,1123.490,1167.808,1136.796,1005.086,1000.076,960.778,933.575,1159.574,1159.515,1018.255,1028.774,1106.035,958.594,953.291,985.640,1002.275,1117.068,1118.376,1161.337,969.807,991.825,974.951,1054.998,1025.172,987.271,1104.858,1011.022,974.674,1122.568,1088.811,975.996,1028.693,989.096
470,1016.308,1169.566,1444.237,1056.410,974.687,984.734,957.830,1004.086,989.514,1001.127,964.202,914.525,944.148,1121.614,1162.984,1131.386,1000.807,999.684,960.905,932.438,1154.834,1157.419,1018.876,1027.114,1100.970,959.833,953.643,985.508,1001.947,1112.537,1116.127,1158.263,969.364,990.351,975.100,1051.015,1026.076,988.287,1102.976,1011.949,974.207,1117.955,1085.631,974.958,1027.196,989.422
471,1012.148,1167.547,1435.771,1055.394,973.034,983.502,959.475,1002.568,987.309,1000.418,962.918,913.397,943.303,1118.340,1160.174,1125.175,999.399,997.392,959.339,931.481,1149.167,1148.480,1016.834,1027.154,1098.758,957.043,952.476,982.191,1000.604,1108.433,1113.672,1151.784,968.503,989.359,973.624,1049.524,1024.182,987.822,1099.665,1010.181,971.829,1113.421,1082.938,973.387,1022.617,987.210
