 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27
537,1021.555,1108.903,982.592,1100.211,992.775,1027.010,1392.343,1310.649,1105.546,1068.067,1029.036,885.472,1064.442,955.566,1024.343,1201.743,944.172,901.281,1013.685,1031.555,1099.067,1117.106,1118.503,1107.043,953.913,898.710,901.196
538,1018.769,1144.271,986.700,1105.094,995.437,1029.251,1388.962,1331.225,1107.458,1067.544,1025.186,885.746,1062.751,954.668,1023.802,1196.340,943.161,901.645,1018.930,1033.402,1094.326,1116.262,1122.780,1113.479,953.603,896.949,900.942
539,1017.997,1166.957,990.303,1112.467,995.452,1029.868,1380.143,1334.371,1108.628,1066.134,1026.067,886.226,1067.503,955.351,1018.487,1235.162,944.600,902.606,1029.791,1041.096,1092.263,1118.172,1122.638,1115.069,956.222,897.243,900.204
540,1029.266,1178.709,992.834,1123.653,998.983,1030.367,1378.079,1335.735,1110.431,1066.566,1028.861,886.330,1077.463,955.517,1018.461,1280.083,948.692,906.120,1039.828,1064.945,1092.183,1119.536,1121.535,1114.339,954.680,897.221,899.513
541,1042.093,1176.327,994.050,1131.704,997.861,1031.514,1376.682,1348.320,1111.199,1066.819,1028.753,886.734,1080.284,956.372,1036.154,1297.392,948.021,906.398,1045.738,1078.872,1092.221,1118.466,1117.084,1108.887,953.985,895.372,899.259
542,1042.566,1173.796,992.574,1134.332,996.675,1033.507,1374.715,1389.437,1115.723,1066.764,1029.454,886.647,1078.111,957.248,1065.832,1290.383,947.526,907.073,1052.652,1081.857,1089.796,1115.635,1111.703,1105.759,951.927,896.091,897.256
543,1037.526,1165.685,992.729,1132.355,996.533,1032.017,1371.277,1409.889,1115.794,1063.793,1028.172,885.738,1072.499,956.245,1078.840,1277.621,943.753,906.087,1056.937,1089.089,1087.623,1109.946,1107.256,1101.296,948.046,894.016,895.432
544,1035.754,1155.522,991.269,1132.509,993.743,1036.092,1365.205,1445.826,1120.292,1063.061,1024.460,884.119,1066.317,957.159,1110.412,1264.959,944.999,906.092,1064.990,1095.477,1085.553,1108.004,1102.155,1094.983,945.819,893.991,896.229
545,1030.573,1146.303,991.646,1132.951,994.875,1037.038,1359.247,1505.977,1129.077,1061.616,1023.860,884.159,1067.930,956.569,1154.566,1249.448,941.158,905.410,1068.718,1095.060,1081.788,1106.176,1098.296,1086.768,942.977,893.773,893.225
546,1025.458,1135.667,989.408,1134.258,993.416,1039.403,1357.326,1569.694,1134.713,1063.496,1021.726,886.135,1067.146,956.766,1183.430,1239.870,942.782,903.953,1067.377,1092.613,1077.513,1101.736,1093.193,1081.301,940.631,893.653,893.716
547,1022.709,1125.611,988.591,1128.748,992.503,1039.895,1348.228,1579.007,1136.370,1063.188,1021.498,882.914,1060.921,955.678,1185.404,1226.004,943.002,903.164,1064.888,1086.752,1072.494,1097.024,1084.832,1074.706,936.486,892.796,891.851
548,1021.730,1116.333,988.433,1125.308,993.000,1039.504,1340.807,1570.251,1138.638,1062.041,1019.275,884.690,1056.245,957.193,1176.641,1212.790,940.556,902.971,1059.765,1080.372,1072.832,1091.020,1083.925,1067.063,934.874,891.165,889.853
549,1017.714,1106.457,984.429,1118.957,992.830,1036.270,1329.794,1551.813,1136.155,1063.082,1016.710,882.686,1047.478,955.912,1161.139,1196.078,940.803,900.959,1055.727,1072.863,1068.539,1085.012,1078.165,1059.560,930.936,890.627,888.341
550,1014.264,1092.234,986.116,1113.764,992.536,1034.751,1321.380,1532.912,1130.961,1062.767,1014.232,881.391,1043.013,954.150,1145.479,1179.104,934.774,900.614,1050.644,1064.269,1067.779,1078.488,1071.246,1051.456,926.632,888.844,885.776
551,1006.900,1083.551,988.219,1111.975,992.590,1034.337,1317.553,1516.746,1125.565,1064.520,1015.491,880.240,1042.342,953.261,1135.901,1167.099,936.175,899.380,1047.143,1058.085,1070.011,1074.870,1066.045,1043.100,922.162,888.296,884.621
552,1003.386,1077.347,1001.113,1112.810,994.006,1034.480,1316.154,1501.850,1125.140,1064.650,1049.635,882.926,1050.897,955.010,1123.112,1154.858,934.730,898.354,1043.816,1051.936,1070.583,1072.533,1062.183,1037.655,918.561,888.847,882.992
553,1001.000,1071.525,1019.698,1112.035,995.347,1034.399,1329.256,1484.636,1122.823,1064.872,1072.401,881.995,1052.754,953.071,1110.592,1143.208,934.835,898.605,1040.347,1047.122,1067.004,1069.652,1057.268,1033.504,917.300,888.482,882.926
554,994.831,1063.724,1026.295,1112.456,996.529,1034.690,1370.403,1473.392,1121.711,1067.594,1080.018,881.900,1056.037,952.437,1101.766,1132.907,934.208,896.877,1039.108,1041.810,1064.481,1071.411,1056.004,1027.685,914.814,888.078,882.003
555,991.360,1055.463,1027.388,1111.679,994.952,1034.138,1424.812,1463.642,1124.378,1068.426,1082.167,880.934,1063.667,952.489,1094.398,1119.977,934.110,896.390,1033.815,1037.403,1062.056,1075.113,1054.045,1023.888,913.935,887.624,882.470
556,987.330,1048.359,1024.812,1109.302,994.085,1034.231,1440.289,1450.202,1122.361,1066.326,1087.275,880.975,1062.830,952.112,1085.332,1110.955,933.771,896.137,1031.817,1033.350,1059.927,1073.450,1052.419,1021.766,912.452,886.978,882.554
557,983.487,1038.702,1020.412,1109.604,998.213,1034.778,1437.690,1442.222,1122.306,1068.516,1116.792,880.691,1059.820,951.512,1078.990,1101.491,933.379,894.854,1030.413,1029.290,1059.276,1071.944,1049.383,1020.366,912.858,888.308,889.660
558,981.469,1032.262,1017.016,1109.809,1005.531,1034.105,1425.616,1432.092,1121.594,1069.655,1133.458,882.268,1056.419,950.373,1070.240,1092.170,932.959,897.567,1027.631,1024.331,1060.529,1069.363,1047.803,1018.300,910.585,887.823,895.747
559,980.945,1025.068,1012.786,1108.909,1004.492,1035.345,1413.810,1424.868,1125.156,1067.866,1134.623,881.626,1054.808,950.133,1063.432,1083.600,932.284,896.121,1025.014,1021.233,1064.724,1066.337,1044.854,1015.553,907.766,891.044,898.101
560,976.397,1018.893,1010.683,1107.023,1007.146,1035.661,1404.350,1413.636,1124.166,1069.953,1129.991,881.100,1052.985,949.681,1060.094,1075.625,930.737,895.029,1024.165,1018.327,1068.322,1070.266,1045.156,1012.483,907.306,892.296,897.534
561,975.541,1012.154,1004.239,1106.270,1005.972,1035.155,1395.087,1406.468,1120.362,1073.416,1124.965,881.084,1055.214,948.430,1052.202,1067.479,931.671,894.870,1020.287,1015.823,1066.015,1085.378,1046.000,1010.294,905.064,892.222,897.386
562,972.234,1006.912,1001.335,1106.545,1005.564,1034.281,1388.441,1393.070,1116.871,1072.722,1117.610,881.832,1058.956,949.582,1047.390,1060.513,931.034,894.765,1019.931,1013.974,1064.195,1113.566,1050.159,1010.277,906.182,892.977,898.628
563,969.402,1002.247,998.172,1104.786,1004.576,1033.743,1379.231,1382.282,1112.430,1071.779,1108.834,881.235,1057.514,949.862,1043.954,1053.719,932.047,892.982,1017.980,1014.157,1061.044,1122.854,1045.841,1006.822,906.813,892.253,896.049
564,968.168,996.556,995.217,1102.355,1001.998,1032.993,1371.321,1369.346,1109.151,1071.031,1099.292,882.462,1058.646,949.215,1038.266,1046.135,930.205,893.840,1016.328,1011.950,1056.185,1120.246,1044.991,1005.761,906.526,890.223,894.870
565,966.589,992.365,991.742,1102.577,1000.729,1029.970,1364.074,1361.366,1109.056,1065.215,1092.785,880.819,1063.895,950.305,1035.692,1040.908,934.188,893.902,1014.744,1012.714,1053.593,1116.563,1042.687,1006.168,906.894,890.605,893.255
566,965.959,987.139,990.395,1098.862,999.483,1030.277,1358.593,1353.866,1109.862,1062.556,1084.007,881.749,1061.920,949.618,1036.386,1036.888,931.346,894.353,1015.081,1012.871,1050.734,1110.681,1041.799,1011.066,910.455,890.188,889.555
567,965.073,983.555,988.991,1097.882,998.215,1028.277,1352.800,1344.297,1109.230,1063.794,1075.578,880.356,1066.104,949.798,1030.551,1031.693,929.864,894.381,1014.390,1013.220,1050.896,1105.591,1038.945,1028.922,915.934,890.179,890.756
568,965.232,980.460,986.518,1095.654,997.293,1027.096,1355.296,1336.681,1107.807,1063.752,1067.574,880.938,1072.103,947.488,1032.382,1027.307,932.331,893.648,1013.915,1009.729,1049.722,1101.705,1040.525,1058.562,920.375,890.543,892.344
569,965.012,978.363,984.469,1094.445,997.088,1026.803,1378.882,1325.943,1105.449,1064.633,1062.804,882.384,1076.767,947.082,1060.979,1021.851,935.098,894.655,1014.742,1009.487,1049.454,1098.339,1040.730,1068.674,921.656,889.335,891.676
570,964.356,976.310,984.714,1094.332,994.108,1025.910,1419.856,1321.519,1105.539,1061.256,1054.885,882.543,1076.070,947.887,1095.303,1020.203,932.320,895.049,1017.242,1017.587,1051.804,1093.567,1044.525,1069.863,925.716,890.184,892.401
571,965.669,972.978,983.031,1094.079,994.135,1023.375,1429.137,1312.907,1102.516,1057.489,1049.501,881.997,1070.132,946.600,1105.672,1019.523,930.800,896.880,1016.416,1035.089,1050.027,1094.412,1052.717,1071.352,929.841,888.997,893.358
