 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
1,964.326,1081.305,1123.527,1044.682,996.004,1005.979,985.613,1009.596,983.595,996.211,954.470,925.692,929.415,1073.587,1086.241,1030.791,982.804,987.742,960.834,938.936,1015.209,1018.530,1007.799,1017.057,1042.955,961.173,968.307,1008.432,988.890,1013.167,1027.760,1006.554,966.956,976.210,987.868,1022.888,1012.645,1006.304,1021.568,1034.322,984.520,1001.587,1032.243,976.226,986.944,966.792
2,961.952,1082.216,1124.226,1042.894,992.841,1004.024,983.494,1010.055,982.806,995.835,953.461,924.987,926.534,1071.357,1085.196,1031.047,983.241,985.678,959.343,937.885,1013.033,1017.802,1008.539,1018.808,1042.315,961.071,966.362,1007.410,987.414,1011.681,1028.499,1007.158,967.627,976.516,986.054,1020.854,1012.805,1006.485,1021.802,1032.531,984.004,998.268,1032.248,974.722,987.064,963.585
3,961.792,1081.857,1125.370,1043.770,993.036,1002.513,984.998,1008.420,984.232,996.369,952.545,925.364,926.792,1071.737,1085.551,1031.096,980.117,985.679,959.931,938.602,1012.872,1016.635,1008.347,1016.130,1042.570,960.932,966.624,1005.506,989.826,1013.164,1028.944,1008.302,968.431,974.588,986.454,1022.925,1010.323,1006.830,1021.691,1033.541,984.548,997.072,1032.166,974.521,988.056,964.846
4,961.401,1081.325,1124.511,1041.938,993.486,1003.950,984.843,1006.726,983.827,995.098,953.169,925.560,928.414,1073.621,1082.300,1031.328,981.765,985.231,959.606,937.683,1013.179,1018.056,1007.072,1015.041,1041.526,962.049,966.142,1010.219,987.764,1010.607,1028.542,1007.562,967.789,975.448,987.420,1021.640,1010.784,1007.019,1022.070,1032.599,984.975,997.575,1031.270,974.842,986.936,964.655
5,959.167,1080.262,1122.398,1042.145,992.585,1003.467,983.841,1004.729,982.273,995.082,953.490,924.966,925.868,1071.495,1084.236,1030.674,982.871,985.286,959.427,937.370,1012.318,1015.055,1006.791,1015.217,1041.029,960.132,965.607,1008.057,988.405,1013.641,1028.051,1005.431,967.066,973.844,985.924,1022.424,1011.542,1006.328,1020.283,1031.092,984.607,998.007,1031.497,973.248,985.448,963.672
6,958.059,1079.919,1122.697,1041.390,993.836,1003.925,984.365,1006.373,983.884,994.858,954.893,925.766,927.928,1072.388,1082.411,1030.416,979.312,984.420,958.222,936.428,1013.574,1016.514,1006.006,1016.826,1043.478,959.692,966.928,1007.297,988.597,1011.402,1026.933,1007.682,967.860,973.336,986.401,1022.536,1010.728,1006.185,1019.203,1031.524,984.674,996.854,1032.659,974.429,985.315,962.119
7,957.190,1079.854,1123.176,1041.182,992.539,1003.236,983.996,1006.957,983.258,997.052,953.574,925.524,925.751,1071.455,1085.246,1031.760,979.617,985.646,959.505,936.819,1012.423,1016.853,1006.657,1014.688,1041.084,960.322,964.486,1007.002,986.306,1011.100,1026.952,1005.407,967.448,974.457,987.091,1022.065,1011.298,1004.739,1020.171,1031.545,983.303,998.272,1031.533,974.135,986.623,962.518
8,956.753,1081.264,1122.698,1042.929,993.110,1002.521,983.244,1007.674,983.974,994.221,952.744,925.367,926.110,1072.465,1083.939,1031.563,978.435,985.895,958.965,937.662,1014.444,1016.637,1007.379,1016.205,1043.069,959.851,966.157,1009.265,988.002,1011.399,1026.732,1005.389,966.489,973.740,986.965,1022.533,1011.552,1006.251,1021.128,1031.792,984.528,997.371,1033.780,974.315,986.445,961.687
9,956.526,1080.311,1122.159,1042.022,992.679,1004.790,982.974,1005.508,982.005,996.398,954.816,924.397,927.049,1072.657,1083.291,1032.874,979.994,984.227,959.881,936.261,1012.209,1017.782,1005.224,1017.506,1041.224,959.796,964.405,1006.800,986.261,1012.082,1026.857,1006.425,966.209,973.730,984.807,1022.253,1011.262,1005.360,1018.879,1030.764,984.150,998.624,1031.535,972.421,986.051,960.619
10,957.088,1081.039,1123.498,1041.224,992.854,1002.832,981.246,1005.891,981.203,995.948,955.346,926.438,927.465,1072.141,1084.275,1031.101,981.627,985.471,957.730,937.327,1014.536,1015.229,1004.765,1014.918,1042.478,960.088,965.195,1011.432,989.060,1013.624,1026.947,1006.828,965.839,974.914,985.719,1021.283,1009.965,1004.047,1019.475,1031.554,983.523,996.990,1030.482,972.758,985.473,960.946
11,956.239,1079.557,1122.859,1042.656,993.351,1003.145,986.083,1004.998,982.679,995.259,951.133,924.535,927.722,1071.417,1086.786,1032.031,981.444,984.667,959.811,936.315,1011.882,1016.453,1006.474,1016.138,1042.354,960.170,965.715,1008.026,987.420,1012.062,1026.191,1005.044,967.415,972.957,985.459,1020.421,1009.948,1004.435,1019.728,1029.385,985.943,996.176,1030.587,971.991,985.248,962.066
12,955.583,1078.134,1122.559,1045.426,992.990,1005.456,984.529,1004.427,983.386,994.286,954.416,926.042,927.426,1071.830,1083.219,1030.768,981.527,984.029,958.886,936.898,1014.832,1017.042,1005.381,1013.940,1042.261,959.731,965.293,1006.247,986.662,1012.512,1027.191,1007.066,965.619,973.434,985.908,1022.520,1010.581,1005.160,1020.210,1032.097,983.563,998.814,1032.381,972.659,986.551,960.001
13,953.875,1080.067,1122.930,1044.445,993.664,1004.523,982.771,1004.985,983.788,995.296,955.059,924.104,927.144,1072.977,1084.866,1030.685,980.400,983.539,959.555,936.733,1011.371,1016.018,1004.362,1015.361,1042.839,958.629,963.698,1009.085,987.479,1010.023,1027.826,1005.702,966.402,973.208,985.757,1020.850,1009.498,1005.137,1020.135,1031.467,984.087,997.397,1031.395,972.299,987.132,962.640
14,953.468,1079.750,1121.995,1042.873,992.973,1003.414,983.881,1005.396,983.978,994.649,952.182,924.723,927.374,1073.044,1084.180,1030.822,979.187,984.500,960.520,935.688,1013.893,1017.047,1006.678,1015.036,1041.380,960.615,964.960,1009.002,987.267,1012.674,1026.998,1005.006,966.304,973.095,985.390,1022.430,1010.794,1003.241,1020.257,1031.356,985.029,997.447,1031.182,975.584,984.796,960.547
15,953.334,1078.297,1121.428,1042.640,992.198,1003.679,984.145,1004.896,983.984,995.885,953.631,925.944,928.261,1072.421,1084.099,1031.468,980.755,984.125,962.541,935.838,1012.508,1016.010,1006.355,1016.405,1043.161,958.323,966.405,1010.575,987.244,1012.369,1026.946,1004.933,966.892,972.750,986.003,1021.436,1009.870,1005.263,1020.310,1032.677,982.682,998.996,1030.241,972.417,984.720,961.004
16,954.249,1080.021,1121.452,1042.336,990.932,1002.313,983.890,1004.449,984.946,996.346,952.080,924.006,926.826,1071.653,1083.244,1030.821,982.547,982.920,961.989,935.766,1011.622,1017.621,1006.068,1014.371,1042.469,959.515,966.021,1007.033,986.691,1011.836,1027.426,1004.364,965.370,973.725,984.289,1021.122,1010.316,1003.956,1019.471,1030.530,984.400,997.110,1031.464,973.268,985.198,959.555
17,953.213,1079.171,1120.135,1040.527,993.520,1002.325,982.959,1005.174,982.812,996.401,952.915,925.435,926.863,1072.628,1084.738,1030.540,981.809,984.534,961.573,936.517,1011.464,1016.373,1006.721,1015.723,1042.501,958.423,965.092,1003.137,986.478,1009.489,1026.722,1006.676,965.186,973.758,984.402,1019.967,1007.959,1003.968,1017.883,1029.725,982.266,996.493,1030.093,972.033,985.354,958.860
